N,set_cardinality,add_ds_card,mult_ds_card,count
4,4,7,9,1
5,4,7,9,1
5,4,7,10,1
5,4,8,10,2
5,4,9,9,1
6,4,7,9,1
6,4,7,10,2
6,4,8,9,1
6,4,8,10,3
6,4,9,9,3
6,4,9,10,5
7,4,7,9,1
7,4,7,10,4
7,4,8,9,1
7,4,8,10,5
7,4,9,9,4
7,4,9,10,18
7,4,10,10,2
8,4,7,9,2
8,4,7,10,5
8,4,8,9,1
8,4,8,10,7
8,4,9,9,7
8,4,9,10,38
8,4,10,7,1
8,4,10,9,1
8,4,10,10,8
9,4,7,9,2
9,4,7,10,7
9,4,8,9,2
9,4,8,10,10
9,4,9,9,17
9,4,9,10,62
9,4,10,7,1
9,4,10,9,5
9,4,10,10,20
10,4,7,9,2
10,4,7,10,10
10,4,8,9,2
10,4,8,10,14
10,4,9,9,18
10,4,9,10,104
10,4,10,7,1
10,4,10,9,12
10,4,10,10,47
11,4,7,9,2
11,4,7,10,13
11,4,8,9,2
11,4,8,10,18
11,4,9,9,20
11,4,9,10,165
11,4,10,7,1
11,4,10,9,14
11,4,10,10,95
12,4,7,9,3
12,4,7,10,15
12,4,8,9,3
12,4,8,10,21
12,4,9,9,24
12,4,9,10,239
12,4,10,7,1
12,4,10,9,29
12,4,10,10,160
13,4,7,9,3
13,4,7,10,19
13,4,8,9,3
13,4,8,10,27
13,4,9,9,24
13,4,9,10,335
13,4,10,7,1
13,4,10,9,34
13,4,10,10,269
14,4,7,9,3
14,4,7,10,23
14,4,8,9,3
14,4,8,10,33
14,4,9,9,26
14,4,9,10,447
14,4,10,7,1
14,4,10,9,43
14,4,10,10,422
15,4,7,9,3
15,4,7,10,27
15,4,8,9,3
15,4,8,10,39
15,4,9,9,31
15,4,9,10,586
15,4,10,7,1
15,4,10,9,51
15,4,10,10,624
16,4,7,9,4
16,4,7,10,31
16,4,8,9,3
16,4,8,10,45
16,4,9,9,44
16,4,9,10,735
16,4,10,7,2
16,4,10,8,2
16,4,10,9,81
16,4,10,10,873
17,4,7,9,4
17,4,7,10,36
17,4,8,9,3
17,4,8,10,53
17,4,9,9,45
17,4,9,10,927
17,4,10,7,2
17,4,10,8,2
17,4,10,9,88
17,4,10,10,1220
18,4,7,9,4
18,4,7,10,41
18,4,8,9,5
18,4,8,10,59
18,4,9,9,60
18,4,9,10,1129
18,4,10,7,2
18,4,10,8,2
18,4,10,9,122
18,4,10,10,1636
19,4,7,9,4
19,4,7,10,47
19,4,8,9,5
19,4,8,10,67
19,4,9,9,62
19,4,9,10,1381
19,4,10,7,2
19,4,10,8,2
19,4,10,9,130
19,4,10,10,2176
20,4,7,9,5
20,4,7,10,52
20,4,8,9,5
20,4,8,10,75
20,4,9,9,67
20,4,9,10,1657
20,4,10,7,2
20,4,10,8,2
20,4,10,9,167
20,4,10,10,2813
21,4,7,9,5
21,4,7,10,58
21,4,8,9,5
21,4,8,10,85
21,4,9,9,68
21,4,9,10,1978
21,4,10,7,2
21,4,10,8,2
21,4,10,9,189
21,4,10,10,3593
22,4,7,9,5
22,4,7,10,65
22,4,8,9,5
22,4,8,10,95
22,4,9,9,70
22,4,9,10,2325
22,4,10,7,2
22,4,10,8,2
22,4,10,9,208
22,4,10,10,4538
23,4,7,9,5
23,4,7,10,72
23,4,8,9,5
23,4,8,10,105
23,4,9,9,71
23,4,9,10,2723
23,4,10,7,2
23,4,10,8,2
23,4,10,9,218
23,4,10,10,5652
24,4,7,9,6
24,4,7,10,78
24,4,8,9,6
24,4,8,10,114
24,4,9,9,78
24,4,9,10,3148
24,4,10,7,3
24,4,10,8,2
24,4,10,9,264
24,4,10,10,6927
25,4,7,9,6
25,4,7,10,86
25,4,8,9,6
25,4,8,10,126
25,4,9,9,103
25,4,9,10,3603
25,4,10,7,3
25,4,10,8,2
25,4,10,9,345
25,4,10,10,8370
26,4,7,9,6
26,4,7,10,94
26,4,8,9,6
26,4,8,10,138
26,4,9,9,103
26,4,9,10,4119
26,4,10,7,3
26,4,10,8,2
26,4,10,9,373
26,4,10,10,10106
27,4,7,9,6
27,4,7,10,102
27,4,8,9,7
