N,set_cardinality,add_ds_card,mult_ds_card,count
5,5,9,14,1
6,5,9,14,2
6,5,10,12,1
6,5,10,15,1
6,5,11,14,2
7,5,9,14,2
7,5,9,15,1
7,5,10,12,1
7,5,10,15,3
7,5,11,14,4
7,5,11,15,5
7,5,12,14,2
7,5,12,15,2
7,5,13,14,1
8,5,9,14,2
8,5,9,15,2
8,5,10,12,1
8,5,10,14,1
8,5,10,15,4
8,5,11,12,1
8,5,11,14,8
8,5,11,15,7
8,5,12,12,3
8,5,12,14,5
8,5,12,15,14
8,5,13,12,1
8,5,13,14,2
8,5,13,15,5
9,5,9,14,3
9,5,9,15,3
9,5,10,12,1
9,5,10,14,3
9,5,10,15,4
9,5,11,12,1
9,5,11,14,10
9,5,11,15,12
9,5,12,12,4
9,5,12,13,3
9,5,12,14,15
9,5,12,15,32
9,5,13,12,2
9,5,13,13,2
9,5,13,14,16
9,5,13,15,11
9,5,14,12,1
9,5,14,14,1
9,5,14,15,2
10,5,9,14,4
10,5,9,15,4
10,5,10,12,1
10,5,10,14,3
10,5,10,15,6
10,5,11,12,1
10,5,11,14,12
10,5,11,15,17
10,5,12,12,4
10,5,12,13,3
10,5,12,14,31
10,5,12,15,64
10,5,13,12,3
10,5,13,13,2
10,5,13,14,32
10,5,13,15,37
10,5,14,12,3
10,5,14,14,10
10,5,14,15,15
11,5,9,14,4
11,5,9,15,6
11,5,10,12,1
11,5,10,14,3
11,5,10,15,10
11,5,11,12,1
11,5,11,14,14
11,5,11,15,24
11,5,12,12,4
11,5,12,13,3
11,5,12,14,38
11,5,12,15,117
11,5,13,12,3
11,5,13,13,2
11,5,13,14,43
11,5,13,15,103
11,5,14,12,4
11,5,14,14,24
11,5,14,15,58
12,5,9,14,5
12,5,9,15,7
12,5,10,12,2
12,5,10,14,3
12,5,10,15,13
12,5,11,12,1
12,5,11,14,18
12,5,11,15,29
12,5,12,12,5
12,5,12,13,8
12,5,12,14,54
12,5,12,15,171
12,5,13,12,5
12,5,13,13,4
12,5,13,14,66
12,5,13,15,185
12,5,14,12,9
12,5,14,13,2
12,5,14,14,73
12,5,14,15,128
12,5,15,14,2
12,5,15,15,2
13,5,9,14,5
13,5,9,15,10
13,5,10,12,2
13,5,10,14,3
13,5,10,15,17
13,5,11,12,1
13,5,11,14,19
13,5,11,15,42
13,5,12,12,5
13,5,12,13,8
13,5,12,14,60
13,5,12,15,259
13,5,13,12,5
13,5,13,13,4
13,5,13,14,77
13,5,13,15,326
13,5,14,12,9
13,5,14,13,2
13,5,14,14,109
13,5,14,15,302
13,5,15,12,1
13,5,15,14,7
13,5,15,15,14
14,5,9,14,5
14,5,9,15,13
14,5,10,12,2
14,5,10,14,3
14,5,10,15,21
14,5,11,12,1
14,5,11,14,21
14,5,11,15,54
14,5,12,12,5
14,5,12,13,8
14,5,12,14,72
14,5,12,15,361
14,5,13,12,5
14,5,13,13,4
14,5,13,14,110
14,5,13,15,483
14,5,14,12,12
14,5,14,13,2
14,5,14,14,166
14,5,14,15,586
14,5,15,12,2
14,5,15,14,18
14,5,15,15,48
15,5,9,14,6
15,5,9,15,15
15,5,10,12,2
15,5,10,14,3
15,5,10,15,25
15,5,11,12,1
15,5,11,14,22
15,5,11,15,67
15,5,12,12,6
15,5,12,13,8
15,5,12,14,87
15,5,12,15,489
15,5,13,12,5
15,5,13,13,4
15,5,13,14,147
15,5,13,15,698
15,5,14,12,14
15,5,14,13,2
15,5,14,14,258
15,5,14,15,988
15,5,15,12,2
15,5,15,14,29
15,5,15,15,125
16,5,9,14,6
16,5,9,15,18
16,5,10,12,2
16,5,10,14,5
16,5,10,15,29
16,5,11,12,2
16,5,11,14,28
16,5,11,15,76
16,5,12,12,9
16,5,12,13,13
16,5,12,14,118
16,5,12,15,620
16,5,13,12,7
16,5,13,13,4
16,5,13,14,195
16,5,13,15,924
16,5,14,12,20
16,5,14,13,22
16,5,14,14,421
16,5,14,15,1529
16,5,15,9,1
16,5,15,12,9
16,5,15,13,7
16,5,15,14,60
16,5,15,15,243
17,5,9,14,6
17,5,9,15,22
17,5,10,12,2
17,5,10,14,5
17,5,10,15,35
17,5,11,12,2
17,5,11,14,28
17,5,11,15,92
17,5,12,12,9
17,5,12,13,13
17,5,12,14,127
17,5,12,15,813
17,5,13,12,7
17,5,13,13,4
17,5,13,14,210
17,5,13,15,1265
17,5,14,12,20
17,5,14,13,23
17,5,14,14,500
17,5,14,15,2421
17,5,15,9,1
17,5,15,12,11
17,5,15,13,8
17,5,15,14,89
17,5,15,15,475
18,5,9,14,8
18,5,9,15,24
18,5,10,12,3
18,5,10,14,7
18,5,10,15,38
18,5,11,12,2
18,5,11,14,32
18,5,11,15,104
18,5,12,12,10
18,5,12,13,16
18,5,12,14,156
18,5,12,15,1008
18,5,13,12,11
18,5,13,13,9
18,5,13,14,292
18,5,13,15,1582
18,5,14,12,26
18,5,14,13,36
18,5,14,14,737
18,5,14,15,3459
18,5,15,9,1
18,5,15,12,15
18,5,15,13,10
18,5,15,14,178
18,5,15,15,804
19,5,9,14,8
19,5,9,15,28
19,5,10,12,3
19,5,10,14,7
19,5,10,15,44
