set_cardinality,add_ds_card,mult_ds_card,count
26,165,351,1
26,247,317,149
26,219,329,439
26,186,344,15
26,211,330,146
26,219,320,30
26,261,344,477413
26,253,336,67485
26,247,318,200
26,201,348,3228
26,199,332,25
26,264,319,16
26,252,346,2933625
26,250,333,26935
26,233,315,56
26,225,347,485139
26,225,308,7
26,188,333,3
26,244,330,9461
26,215,332,518
26,221,350,450581
26,211,348,35544
26,212,318,3
26,200,320,2
26,254,347,3814056
26,227,339,38570
26,210,314,2
26,242,331,12082
26,251,314,51
26,215,329,221
26,210,334,366
26,225,335,7540
26,230,312,16
26,256,324,738
26,220,346,125212
26,263,350,1151896
26,244,340,332735
26,279,340,7
26,253,346,2764731
26,218,330,450
26,211,328,76
26,269,342,16169
26,198,327,4
26,206,325,8
26,229,302,1
26,270,318,3
26,194,333,12
26,268,331,350
26,253,341,439162
26,212,345,17363
26,272,326,9
26,200,340,220
26,204,348,6858
26,247,346,3212510
26,227,348,896135
26,206,309,2
26,228,350,1587730
26,230,345,520128
26,224,348,531133
26,213,350,82909
26,214,334,761
26,264,326,274
26,237,336,48021
26,247,320,358
26,261,347,1336112
26,217,327,168
26,273,332,41
26,225,341,56689
26,227,334,7419
26,233,338,62574
26,265,336,7908
26,234,331,6471
26,268,322,19
26,231,305,1
26,272,323,2
26,257,343,638550
26,226,307,2
26,246,323,986
26,213,319,11
26,261,300,1
26,244,342,659020
26,255,310,8
26,215,327,107
26,221,321,67
26,255,344,1200390
26,233,321,295
26,237,341,287125
26,199,336,66
26,266,342,53500
26,260,325,556
26,206,345,4362
26,260,300,1
26,262,317,24
26,225,309,2
26,249,320,393
26,222,291,1
26,269,329,127
26,203,336,131
26,248,310,12
26,262,323,148
26,196,340,92
26,214,314,3
26,242,311,29
26,267,327,143
26,261,345,661739
26,187,337,3
26,220,308,1
26,247,316,114
26,267,325,63
26,223,328,634
26,198,333,25
26,225,337,13800
26,204,330,26
26,276,349,1524
26,250,309,7
26,193,351,350
26,247,314,60
26,271,317,1
26,259,320,125
26,250,314,58
26,224,320,80
26,216,342,14065
26,243,340,317965
26,209,336,499
26,229,307,5
26,213,312,2
26,253,319,207
26,224,315,19
26,221,342,36984
26,240,338,123918
26,221,312,4
26,278,329,1
26,214,341,7045
26,249,350,8620582
26,257,311,10
26,279,341,23
26,231,338,48097
26,210,311,2
26,237,290,1
26,244,311,19
26,193,344,143
26,205,322,1
26,251,299,1
26,225,315,25
26,230,311,7
26,230,329,2282
26,268,312,1
26,183,343,4
26,224,304,2
26,232,343,331574
26,246,325,1921
26,176,348,5
26,222,343,66903
26,243,331,12348
26,212,347,34723
26,189,351,115
26,256,307,5
26,224,309,5
26,271,323,5
26,245,328,5049
26,264,348,756386
26,276,350,1321
26,189,328,2
26,239,325,1474
26,223,311,8
26,267,321,20
26,230,318,82
26,276,345,725
26,254,332,14531
26,223,336,7351
26,264,316,4
26,282,342,1
26,182,347,21
26,215,348,87742
26,182,330,3
26,223,350,662792
26,201,324,1
26,201,339,176
26,259,346,1367406
26,249,318,198
26,210,350,41762
26,190,334,4
26,194,337,20
26,241,313,37
26,229,337,24983
26,220,351,214289
26,248,344,1652462
26,221,333,2042
26,226,341,66797
26,265,334,3788
26,200,318,2
26,207,316,1
