set_cardinality,add_ds_card,mult_ds_card,count
28,300,379,12
28,234,369,10
28,215,392,73
28,246,395,75665
28,197,395,4
28,271,380,6626
28,251,399,499573
28,250,399,437015
28,245,384,2941
28,228,390,823
28,230,392,2027
28,293,406,45787
28,250,333,1
28,188,400,1
28,258,359,28
28,248,367,60
28,260,364,66
28,291,399,194904
28,261,373,725
28,199,399,17
28,253,354,2
28,213,375,1
28,242,398,95361
28,209,385,12
28,258,379,3095
28,215,378,4
28,244,378,531
28,306,403,109
28,304,382,1
28,237,366,15
28,231,358,1
28,291,362,3
28,267,406,2126412
28,266,398,1424285
28,205,384,2
28,191,389,1
28,260,368,191
28,218,401,1611
28,247,362,24
28,261,381,6738
28,285,404,1709281
28,225,384,99
28,256,371,304
28,273,370,372
28,287,358,3
28,244,372,110
28,222,368,3
28,277,390,114471
28,304,404,491
28,220,368,1
28,221,385,69
28,250,367,72
28,223,367,4
28,289,405,517557
28,243,370,62
28,251,368,92
28,282,389,53860
28,189,402,1
28,192,398,2
28,229,393,2165
28,310,395,1
28,231,388,866
28,253,361,31
28,270,375,1591
28,197,397,2
28,278,381,6664
28,265,336,1
28,266,393,303660
28,229,361,2
28,214,390,42
28,283,361,8
28,263,368,191
28,296,349,1
28,241,391,10716
28,257,343,1
28,305,404,222
28,270,368,237
28,304,400,396
28,302,403,2332
28,176,402,1
28,278,369,203
28,244,386,4183
28,227,386,214
28,290,391,22447
28,255,344,1
28,218,403,2359
28,237,341,1
28,242,375,189
28,225,386,152
28,278,367,110
28,269,396,842467
28,266,342,1
28,220,389,139
28,230,383,191
28,256,366,100
28,287,395,159937
28,304,393,65
28,255,372,386
28,310,403,5
28,204,401,57
28,280,388,48844
28,250,398,318795
28,259,405,3192360
28,270,365,121
28,185,405,1
28,233,372,18
28,265,406,2011615
28,252,384,7132
28,223,393,639
28,216,387,44
28,261,345,1
28,246,400,309806
28,289,393,55128
28,260,399,1325173
28,280,353,1
28,301,374,3
28,278,397,939014
28,245,375,273
28,289,364,7
