add_ds_card,mult_ds_card,count
3,3,1
6,6,15
8,10,1
9,10,20
10,9,5
10,10,108
11,14,1
12,12,1
12,14,1
12,15,21
12,20,1
13,14,2
13,15,48
14,14,30
14,15,378
14,18,1
14,20,2
14,21,2
14,27,1
14,28,2
15,12,2
15,14,25
15,15,301
15,18,1
15,20,5
15,21,26
16,18,1
16,20,5
16,21,50
16,26,1
16,27,1
17,18,1
17,19,2
17,20,24
17,21,158
18,18,6
18,19,4
18,20,65
18,21,539
18,25,3
18,26,2
18,27,4
18,28,14
18,31,1
18,35,2
18,36,1
19,17,1
19,18,3
19,19,3
19,20,151
19,21,989
19,23,1
19,25,1
19,27,12
19,28,31
19,35,1
19,36,4
19,45,1
20,18,17
20,19,6
20,20,205
20,21,1346
20,22,1
20,24,2
20,25,6
20,26,4
20,27,31
20,28,92
20,32,1
20,33,1
20,34,1
20,35,4
20,36,7
21,15,1
21,18,4
21,19,1
21,20,47
21,21,284
21,25,11
21,26,16
21,27,70
21,28,228
21,30,1
21,31,1
21,33,3
21,34,2
21,35,11
21,36,23
21,39,1
21,40,1
21,43,1
21,54,1
21,55,1
22,22,1
22,24,7
22,25,32
22,26,34
22,27,231
22,28,744
22,30,2
22,31,1
22,32,1
22,33,4
22,34,3
22,35,25
22,36,40
22,40,1
22,43,1
22,44,1
22,48,1
22,51,1
22,52,1
22,55,1
23,22,2
23,24,3
23,25,43
23,26,42
23,27,444
23,28,1525
23,29,1
23,30,1
23,31,2
23,33,17
23,34,8
23,35,65
23,36,105
23,42,1
23,43,2
23,44,7
23,45,3
23,52,2
23,54,1
23,55,1
24,22,2
24,23,1
24,24,8
24,25,74
24,26,89
24,27,852
24,28,2793
24,29,1
24,30,2
24,31,6
24,32,3
24,33,20
24,34,20
24,35,119
24,36,180
24,37,1
24,38,2
24,39,1
24,41,1
24,42,2
24,43,8
24,44,11
24,45,7
24,48,1
24,49,1
24,50,1
24,51,1
24,52,3
24,53,1
24,54,7
24,55,5
24,58,1
25,22,2
25,23,4
25,24,6
25,25,102
25,26,79
25,27,942
25,28,3057
25,29,1
25,30,9
25,31,4
25,32,12
25,33,47
25,34,32
25,35,200
25,36,448
25,39,2
25,40,4
25,41,2
25,42,12
25,43,5
25,44,13
25,45,22
25,47,1
25,50,2
25,51,3
