set_cardinality,add_ds_card,mult_ds_card,count
24,86,262,30163345
23,82,245,18669034
24,85,259,24558468
25,89,274,25662585
24,86,261,27679266
23,81,240,9014966
24,84,256,12665529
25,88,274,18276247
26,89,283,14999355
25,87,269,15304081
25,88,272,15155691
24,85,261,29521298
23,81,241,10302331
24,83,257,12900331
25,87,275,27033997
26,89,286,19455274
25,86,272,14195895
26,87,285,13132813
27,89,298,11938755
26,88,289,13420596
25,85,272,15061831
25,87,277,31812138
26,89,289,24477704
24,84,261,21809780
25,87,276,29397683
24,84,262,24008792
23,80,241,6981026
22,78,227,7428746
23,83,249,34710666
24,86,264,34905583
23,83,247,29567259
24,86,265,37350378
25,88,280,28862111
24,85,265,40469365
25,88,277,23421481
26,89,290,26222406
24,86,260,25300703
25,89,275,27290300
23,81,244,14883167
22,78,228,8584007
23,84,247,31065409
24,87,261,33029207
25,88,275,19974630
24,87,262,35472750
23,81,245,16576594
22,78,229,9750753
23,81,249,24393555
22,78,232,13764272
23,82,250,29859080
22,79,233,20084242
21,73,211,2599917
20,71,195,2012555
21,76,216,11360656
22,80,234,25309920
21,75,216,9126758
22,80,233,23464673
23,84,250,38555092
22,81,234,30595933
21,76,214,9084005
22,81,230,21890796
23,86,248,35415222
24,88,261,24785198
23,84,246,28452728
22,80,231,19379528
23,86,247,33271932
22,81,232,26416313
21,76,213,7887261
23,84,249,36069239
24,88,264,29592987
24,87,265,42309220
25,89,279,33257761
23,84,248,33592143
22,81,233,28688359
23,84,253,43920409
24,88,269,34354108
23,86,252,41249652
23,84,252,42412962
22,80,235,27018794
22,79,229,13112503
24,87,263,37743313
25,89,278,31826103
23,83,245,24301296
24,85,260,26963929
26,89,287,21009443
25,87,274,24917093
23,82,244,16733421
22,79,225,7532684
24,87,258,25826182
23,83,242,17443976
24,87,254,17515644
25,89,269,17583873
24,87,260,30596031
23,84,241,16802870
24,88,259,21323868
23,84,243,21129698
22,80,230,17396779
22,79,230,14788961
21,75,209,3320046
23,83,252,41804782
24,87,269,48662463
23,83,251,39741253
25,89,280,34376712
24,86,267,41808431
23,82,246,20815759
24,85,262,32318444
25,88,281,30695392
24,85,263,34920322
24,85,267,45643148
24,83,266,31452062
25,87,285,50132939
26,89,298,39412924
25,86,283,36082487
26,87,296,33167112
27,89,309,27760762
26,88,299,28773195
25,85,282,36323868
24,84,267,35677436
25,87,287,53334680
26,89,300,41762853
24,85,271,53406006
25,88,288,39421696
24,85,272,54327661
23,81,251,28435880
22,78,235,17902977
23,82,257,39224760
24,87,275,45845359
23,83,256,46102510
24,87,274,47756323
25,89,291,32537883
24,84,274,46615478
23,81,254,33185588
24,85,269,50064053
25,88,286,37916071
26,89,301,42615491
24,86,271,48033664
25,89,287,37045035
23,82,252,34034228
25,89,282,36290250
24,87,268,47601933
23,83,250,37424454
22,79,234,21762335
23,84,254,44890108
24,88,271,34238778
22,79,237,25524051
23,85,256,47536033
22,81,237,34414920
21,75,215,8166277
22,77,229,7915759
24,86,268,43861901
23,82,249,27536179
25,88,282,32397545
24,86,269,45488389
23,81,248,22383668
25,88,279,27108793
25,88,278,25240180
24,85,264,37676063
24,83,264,26742050
25,86,282,33916374
26,89,296,36531645
25,86,280,29444169
26,87,295,31017206
26,88,297,25436854
25,85,281,33986152
24,83,268,36072692
25,86,288,45618691
25,87,284,48196486
24,84,271,43597643
23,80,249,18053303
24,81,264,16688918
25,86,285,40276524
27,89,310,29417712
26,87,300,41826130
25,84,280,21227439
26,85,292,16596540
27,88,308,12481104
28,89,317,11861894
27,87,304,13213252
26,86,291,14148959
27,89,306,22855226
26,87,294,28870055
25,83,276,13319614
24,82,255,6801106
25,86,276,21168605
26,89,288,22799971
25,85,271,13492233
26,87,283,10681221
26,88,290,14676837
24,83,259,16294998
25,87,281,41646431
26,89,291,28005999
25,86,275,19214473
24,84,263,26257412
24,84,266,33304743
23,79,243,7656128
22,78,221,2868148
23,83,243,19570291
23,83,241,15355122
24,86,253,11967030
24,86,259,23115823
23,81,237,5872614
24,85,249,7401392
25,88,268,9933602
26,89,276,7277864
25,87,261,5880573
24,84,249,4962864
25,89,265,12100948
24,85,253,12536443
23,81,233,3148215
24,83,253,7717442
25,87,270,17000314
26,89,282,13627915
25,86,268,9012146
26,87,281,8504042
27,89,294,8049844
26,88,285,8922512
25,85,269,10724359
24,84,257,14228944
25,87,272,20690665
24,84,259,17795472
23,82,248,25221237
24,86,266,39682606
23,83,246,26885197
24,86,257,18851192
25,89,272,22354790
23,82,242,13100269
22,79,223,5517121
24,88,255,14820031
23,84,239,13083012
25,89,268,16132727
24,88,258,19660011
23,83,240,13536342
22,79,227,10079991
21,74,208,1961297
20,70,191,619202
21,76,212,6828908
22,81,227,15522585
21,76,210,4920875
22,81,226,13587811
23,86,243,24060496
22,82,231,26713602
21,75,210,3945781
22,79,224,6466938
23,86,242,21910779
24,89,252,13217783
23,85,237,12811386
22,82,222,8536838
23,87,238,15624700
22,81,225,11857968
21,75,206,1918722
22,80,224,7713302
23,85,239,16518697
24,87,255,19322078
25,89,270,19197707
24,87,259,28183712
23,84,242,18898075
22,81,229,19720425
23,85,250,43906718
24,89,262,24984160
23,85,244,28473462
22,80,227,11989764
23,85,245,31103791
22,80,226,10374996
24,87,257,23589660
25,89,273,24060254
24,85,254,14171879
25,88,271,13668788
26,89,280,11216244
25,87,266,10984951
24,86,252,10571012
25,89,266,13338517
23,83,238,10333109
22,79,219,2769998
23,85,238,14661855
24,88,249,7481006
23,83,234,5675931
24,87,247,7509826
25,89,262,8767871
24,88,254,13420735
23,83,235,6666216
22,80,223,6604026
24,89,255,16954935
23,86,239,15772658
23,85,242,23318153
22,81,228,17560603
21,76,207,2865557
25,89,277,30436109
24,87,267,46079382
25,88,276,21642672
26,89,284,16362502
24,85,255,15916048
25,89,271,20701269
24,83,260,18141737
25,87,278,34167475
25,86,274,17478056
26,87,289,19302624
27,89,303,18413957
26,88,294,20611134
25,85,277,24596982
24,84,265,30987652
25,87,286,51875900
25,87,280,39014533
25,89,285,37435051
24,86,272,48669326
26,89,293,31515068
22,78,226,6443966
24,88,260,23096124
24,88,263,28066056
22,78,231,12373177
24,88,265,31086605
23,83,248,32150347
22,79,231,16468273
21,74,211,3352690
20,71,197,2846996
21,78,218,20154929
22,81,236,33641261
21,75,218,10890418
22,80,236,28390664
23,86,253,41785172
22,83,237,39697815
21,75,217,10100756
23,87,252,37851633
24,89,265,26559893
22,82,233,31529599
23,87,250,37115102
22,83,235,38846602
21,77,215,13198800
24,89,268,26137831
23,86,251,40330312
25,89,284,37371784
24,88,270,34484687
22,80,237,29292121
23,84,258,42781274
24,88,274,31321831
23,86,256,39789712
22,82,239,36231499
21,77,217,16050754
23,84,255,45361807
24,87,270,49474993
23,83,253,43561837
24,87,272,49652080
24,85,266,43055641
25,88,284,35395502
26,89,294,33290203
23,85,246,33849051
24,88,266,32174896
23,85,252,47167800
21,75,214,7278516
20,71,194,1637552
22,82,228,19537132
23,86,244,26456836
22,83,231,30843508
21,77,210,6566318
22,82,226,15185849
23,87,245,29399456
23,85,241,20921339
22,79,228,11570336
23,84,244,23516551
24,88,262,26490016
