set_cardinality,add_ds_card,mult_ds_card,count
22,80,209,24673833
23,83,223,13185920
24,84,231,4358757
23,82,220,13481139
22,80,206,18820032
23,83,219,9234730
22,81,208,21479970
21,77,193,19101858
20,74,180,14743696
21,79,197,34180180
22,82,210,21411115
21,77,196,25262005
22,81,210,25480409
23,84,223,7850782
22,83,213,17903720
21,78,197,32074241
20,74,183,20023280
21,80,201,43664450
22,83,214,19143154
21,78,199,37318111
20,74,185,24187490
21,79,201,44976647
20,75,186,32872173
19,69,167,4743080
20,72,182,9620317
21,77,201,37185891
22,81,215,35969593
21,77,200,34616690
22,80,213,33439096
23,84,228,10916127
22,82,216,31611423
21,76,197,22496193
22,79,211,26986164
23,83,228,18709831
24,84,236,6644067
23,82,223,17549351
22,80,210,26843263
22,80,212,31270833
21,76,195,18709860
22,78,207,16365812
23,82,221,14728460
23,81,220,14587480
24,82,233,9350980
25,84,243,2810563
24,83,236,9995625
23,80,222,16780348
22,79,208,20955347
23,82,225,20443179
24,84,235,6070110
22,80,211,28950100
21,76,194,16848131
20,73,179,9653514
21,78,198,34531391
22,82,211,23158318
21,77,197,27694593
22,81,212,29629642
23,84,225,9054476
22,80,214,35919086
23,83,227,17675296
23,82,224,18955646
22,80,208,22568676
23,83,221,11061803
21,76,201,30592160
22,82,213,26535759
22,81,218,41553559
21,79,204,51800161
22,83,217,22251370
21,78,201,42652835
20,73,186,19621987
19,68,166,2698014
20,71,178,4012924
21,75,199,20289046
22,79,213,31225910
21,75,197,17180591
22,80,216,40310931
22,79,209,22931538
22,79,204,14479425
23,82,219,12264164
22,78,210,21474461
21,75,190,8312191
22,78,202,9782387
24,84,228,3251864
23,81,215,8980108
24,82,232,8537713
23,80,221,15343043
22,78,209,19626417
23,81,225,22123017
22,78,208,17891872
23,83,222,12118969
22,76,206,8640016
23,81,223,18998155
24,83,234,8410842
24,82,235,11140942
25,84,246,3693550
24,82,236,12151346
23,79,220,11890599
24,80,230,6126444
25,83,245,4537459
26,84,250,982487
25,82,240,3167604
24,81,227,5147386
25,84,238,1734395
24,82,231,7771992
23,78,216,6278911
22,77,204,9668083
23,81,222,17442547
24,84,230,3927365
23,80,217,10555811
24,82,230,7039417
24,83,237,10826682
23,80,219,12790037
23,82,228,25036157
24,84,239,8262552
22,78,211,23225163
23,82,226,21943096
22,79,214,33578439
21,74,194,9077458
20,71,179,4586734
21,77,199,32388616
21,76,196,20425374
22,81,211,27472100
22,79,206,17474647
23,82,218,11180664
23,83,218,8390784
21,74,190,5900548
22,78,203,10822529
24,84,227,2939152
23,81,214,8026604
24,82,228,5736395
25,84,239,1927611
24,83,233,7655012
23,80,218,11618196
22,79,207,19180523
24,84,233,5162345
21,75,192,10396948
20,72,176,4699280
21,78,195,26923747
22,82,208,18098383
21,76,193,15361046
23,84,222,7206950
22,80,202,12395739
23,84,216,4212931
22,81,207,19642529
21,77,189,12302671
20,73,176,6756616
22,82,206,15082143
21,77,191,15327833
22,82,212,24902869
21,77,195,23176900
20,73,182,13551250
21,78,200,39867654
19,68,163,1694194
20,70,181,3786607
21,76,202,32601184
22,79,217,40132635
21,75,200,21815784
22,78,215,31120135
23,82,230,28270475
21,74,198,13548917
22,77,211,18440532
24,84,238,7717869
23,83,224,14240811
22,77,207,12904289
24,84,234,5636728
23,80,223,18277099
23,81,226,23761057
23,82,227,23645837
22,78,214,29111291
22,76,208,10485986
23,80,227,24902373
24,83,238,11669248
23,79,222,14318161
25,84,247,4062876
24,82,237,13249806
23,79,221,13071538
24,80,232,7410908
25,83,247,5427948
26,84,253,1328542
25,82,242,3804541
24,81,230,6991974
25,84,244,3112207
23,78,219,8479228
22,76,205,7720574
23,81,224,20486024
23,79,219,10877081
25,84,245,3413552
23,80,220,13961528
22,77,209,15550853
23,81,227,25642224
23,81,228,27123864
21,73,194,6183230
22,74,210,5941543
23,80,231,31533486
24,82,243,20051097
23,79,227,21313902
24,81,240,16346551
25,84,254,6858186
23,78,224,13328743
24,80,234,8994262
25,83,252,8163697
26,84,258,2091134
25,82,245,5106097
24,80,233,8152254
24,81,239,15220815
23,77,220,6744512
24,78,233,4540868
25,82,249,7292116
26,84,256,1771721
25,81,244,4212771
26,82,255,1967130
27,84,265,634848
26,83,260,3033153
25,80,245,3712602
24,79,235,7582364
25,82,251,8562023
26,84,261,2717516
25,82,250,7867210
24,80,238,12482200
24,81,241,17542068
23,76,223,6091454
22,75,209,8086322
23,80,229,28240070
24,83,242,15425109
24,82,241,17723459
25,84,253,6411239
23,78,225,14453763
24,80,237,11563987
25,83,251,7602010
26,84,259,2307367
24,81,234,10215775
23,78,221,10249697
22,76,209,11569410
24,82,239,15361283
25,84,252,5992600
24,83,243,16418006
23,79,226,19579208
22,77,214,23260707
23,81,233,35672037
24,83,246,19414916
22,77,216,26449796
23,80,233,34908529
22,77,219,31294220
21,72,197,5737040
20,71,184,8109242
21,76,205,38337594
22,80,221,49623054
21,76,204,36347892
22,80,219,46522882
23,83,235,25976140
21,75,202,25223535
22,78,217,35067826
23,82,234,33946280
24,84,245,11791434
23,82,231,29766735
22,79,216,37848866
23,83,231,22216513
22,78,219,38708990
21,74,200,15996289
22,78,212,25095719
23,81,229,29084187
24,84,240,8915422
23,80,228,26271618
22,77,213,21497181
23,80,230,29890105
24,84,242,10041500
23,82,229,26845646
22,78,216,33000541
21,74,197,12489636
22,76,210,12688295
24,83,241,14494185
24,82,238,14248820
25,84,250,5132239
24,82,240,16537257
23,79,223,15550168
25,82,248,6722998
24,81,237,13114556
25,84,249,4769495
23,78,223,12212060
22,77,210,17011129
23,80,226,22947021
25,84,251,5564488
22,77,212,19975856
24,84,243,10627920
23,82,232,31267736
20,71,181,5819255
22,80,217,42693380
24,84,237,7172453
23,83,226,16445944
24,82,234,10298169
21,74,195,10221007
20,71,182,6554377
22,81,213,31626242
22,80,215,38226052
21,77,198,29905778
23,84,226,9681685
21,78,202,45095716
23,83,230,21070185
22,82,217,33263247
21,75,201,23597604
20,72,186,14162397
22,81,219,43418030
21,76,203,34653913
20,73,188,22905907
21,78,205,51861513
20,75,188,37703491
19,67,168,2275562
18,65,156,2523080
19,72,175,28258816
20,75,192,44367608
19,70,175,15505937
20,74,191,35180617
21,79,207,56063081
20,76,192,51609853
19,70,174,14305310
21,81,208,43776140
22,83,221,24725080
21,78,207,54514209
20,75,191,43349257
21,81,206,43932562
20,77,192,56030591
20,74,189,31820468
21,79,206,55254621
22,83,220,24336205
21,80,206,52569783
22,82,221,37625974
23,84,233,13771346
22,82,220,36799745
20,75,189,39604437
21,78,206,53432236
21,80,205,51361953
20,76,191,50684981
21,79,208,56439876
19,70,173,13626075
21,78,204,49701145
22,81,220,44724276
21,78,203,47713610
23,83,229,20033589
22,81,217,40021501
23,84,231,12726884
20,74,186,26076191
22,83,218,22912643
22,81,216,37912905
23,84,229,11591745
22,82,219,35959971
20,76,189,46811651
19,70,170,10061118
22,82,222,38139298
23,83,234,25122706
22,80,218,44501606
23,84,232,13296717
24,84,244,11324692
23,81,232,34111338
24,83,244,17446714
22,80,220,48069712
20,72,189,17671029
21,77,208,49472172
22,82,224,38372494
21,78,208,55166610
22,81,222,46742159
23,83,236,26550385
22,78,222,43063978
21,75,205,29921880
22,79,220,45670054
24,84,247,13020288
23,82,236,36052644
22,81,221,45946179
23,84,234,14168036
21,77,204,43762060
23,84,236,14831167
20,74,190,33697271
21,78,209,55660942
20,74,192,36186343
19,69,172,8496790
20,71,186,9777563
21,75,207,32169087
22,78,223,44295160
21,75,206,31151765
22,79,222,48428198
23,82,237,36968152
22,80,222,50601886
21,76,199,26464968
23,81,231,32340629
24,84,241,9518712
24,82,244,21253825
22,78,218,36859635
23,81,234,37094670
24,84,248,13504968
23,82,235,35106877
22,79,221,47276758
22,76,216,20080371
24,83,247,20360470
23,80,232,33271663
25,84,256,7825250
23,79,229,24164001
24,80,239,13453545
25,83,253,8779326
26,84,260,2496952
24,82,242,18906824
23,78,227,16916525
23,80,225,21390214
23,82,233,32617001
24,84,246,12422654
22,79,219,44042875
20,73,184,16553044
21,77,202,39457195
22,79,212,29115014
23,84,227,10280968
21,76,198,24330453
22,78,213,27022284
25,84,248,4421713
24,83,240,13529743
22,79,215,35783293
23,83,232,23244317
21,76,200,28371131
21,77,205,45919123
21,77,203,41888814
22,81,214,33877293
20,73,185,18186397
22,83,215,20248477
23,84,230,12155974
22,83,219,23879457
20,72,187,15326603
21,76,206,39693584
20,73,190,25761829
19,68,170,4579319
18,65,153,1591886
19,71,172,17200745
21,79,203,49927335
19,70,171,11240638
21,81,204,41805505
21,79,200,42162200
20,76,183,30756846
21,81,198,30836592
20,77,187,46762112
19,71,168,11394658
20,75,183,25496122
21,80,200,41042178
22,83,211,15678845
22,83,216,21229716
20,75,187,35210126
21,80,203,48076237
21,79,202,47313033
21,80,202,45759821
19,71,169,12632876
20,74,184,22166283
21,79,199,39574542
22,82,214,28357048
22,82,215,30088460
22,81,209,23463017
20,73,183,14916698
20,76,187,41941339
19,69,169,6071355
22,82,218,34446661
22,79,210,25018982
23,80,224,19741452
21,78,196,29281861
20,74,181,16421791
21,79,196,31249727
21,79,205,53798153
20,74,188,30202083
19,68,168,3574666
18,65,155,2101044
19,72,174,26442356
20,76,190,49015046
19,71,173,18864239
21,80,208,52998500
21,80,204,49646222
20,77,188,49622965
21,81,205,43140259
20,77,190,53860234
19,70,172,12328033
22,84,215,10191376
19,68,171,5125554
19,73,174,33583184
20,76,188,44721168
21,81,203,40726004
20,78,190,55344796
20,77,189,51772083
19,69,171,7700858
18,66,157,4285318
19,73,175,35635291
19,71,174,19843724
18,66,158,5067992
19,73,176,36802708
20,75,190,41689543
20,77,193,56095582
18,67,158,7497208
18,68,158,10815385
17,60,140,395291
16,58,124,187951
17,67,141,8768040
18,72,156,26369810
