set_cardinality,add_ds_card,mult_ds_card,count
22,80,222,51317412
23,83,237,22757586
22,81,224,41989476
21,76,206,44455744
20,74,192,37117917
21,79,211,43795088
22,82,226,27593839
21,78,210,48596400
22,82,224,30611383
23,84,240,9041017
22,81,226,38603188
21,78,208,52638810
22,80,221,51486827
23,83,236,22772264
24,84,247,10648607
23,82,234,35706122
22,81,221,44195203
23,84,235,9828788
22,81,223,43150282
21,77,206,50563113
20,73,189,28214439
21,79,207,52573498
22,83,218,18489845
21,79,203,52406713
22,81,216,41003390
23,84,231,8983159
22,83,221,18279626
21,77,204,49210808
20,74,190,36973525
21,80,210,40196313
22,82,223,31692848
21,78,205,54452163
20,74,191,37215289
20,75,194,39872038
19,69,174,12290181
18,65,162,4415786
19,72,181,19304465
20,76,197,33057598
19,70,180,13874297
20,75,195,37320590
21,81,213,21379063
20,78,197,29822300
19,71,178,21966920
20,76,194,43923756
21,81,211,27481373
22,83,224,16540795
21,80,209,42934486
20,76,195,40738288
19,71,179,20464081
21,80,212,33708599
22,83,226,14589136
21,79,212,39881266
23,84,239,9340734
22,83,225,15652472
21,79,210,46483331
20,74,195,32305363
22,83,229,10866603
21,78,213,38652403
20,74,198,23424944
21,81,214,18241406
20,77,197,32800542
19,70,179,15844953
20,73,193,29203717
22,82,225,29263938
21,77,210,46376529
22,80,223,50745018
23,84,236,9696790
22,82,222,32492166
22,80,220,51307460
23,83,234,22578773
24,84,245,9869036
23,83,235,22857344
21,77,207,50401258
20,75,192,43515858
21,79,209,49192263
22,82,219,33205036
23,84,232,9276891
21,79,205,53779784
21,81,208,34033318
22,83,222,17805678
21,78,207,53822107
20,74,194,34333647
19,69,177,12979644
18,65,159,4643367
19,72,177,28886865
20,77,192,50335532
19,71,176,22900170
20,76,190,49505945
21,82,205,24411715
20,78,192,48563103
19,71,174,22288505
20,76,189,48093007
21,81,206,36661571
22,83,216,17775859
21,80,202,46427872
20,75,189,42333961
21,80,204,48001310
20,76,192,48439940
20,74,189,35432813
21,78,204,53395970
22,81,217,42362268
23,84,230,8667291
22,82,220,33162416
20,75,190,43898721
21,81,207,35563160
22,84,220,6505874
21,79,206,53325775
21,80,208,44968723
20,76,193,46512460
19,69,175,12511076
18,66,161,6637340
19,73,179,29903482
20,77,196,37583355
19,71,180,17901324
20,76,196,37450791
21,81,212,24347104
19,72,179,25346578
19,71,177,23019897
18,67,161,9344415
21,80,207,46558408
20,78,195,38725137
19,72,178,27373037
18,67,162,9015888
19,74,180,28882789
20,77,195,41355158
18,66,162,6398216
18,68,162,12288545
17,60,144,920977
18,62,159,1288205
19,70,178,16914755
19,69,178,12480149
20,73,195,26368247
21,77,212,41342494
20,75,197,30840229
21,79,213,35885064
22,80,224,49681528
21,76,209,42989224
20,74,193,36021349
21,79,208,51039211
20,75,196,34607163
20,73,194,27887646
21,78,211,46324433
22,79,227,46070693
23,82,241,33931845
22,81,229,30854901
21,76,212,37473026
20,74,196,30235330
21,78,214,34161501
22,81,230,28010117
20,74,197,27173179
20,72,191,23012722
21,77,209,48333077
23,84,237,9756452
22,78,221,48520310
23,83,238,22444926
23,81,234,42356641
22,81,225,40576311
21,75,206,36518245
20,73,190,29557430
21,78,209,50998389
21,77,205,50496681
22,80,218,49685159
23,83,232,21732336
22,82,221,32989979
21,78,206,54248607
19,68,174,8696003
20,71,193,16844030
22,80,227,44073156
21,76,211,40200197
23,83,239,22031683
24,84,249,11258305
23,82,236,36373123
23,84,238,9547949
22,77,225,41214975
23,81,242,40350751
24,84,253,11747144
23,81,240,42621309
24,82,252,33847090
25,84,263,10572548
24,83,253,23425293
23,80,238,46730778
22,79,223,51689157
23,82,240,34944079
24,84,254,11734862
22,79,228,43387827
23,83,243,18631757
21,74,210,27573938
20,72,196,19520998
21,77,215,29776737
22,82,232,14365160
21,76,216,23826479
22,80,232,27646864
23,83,248,11994439
22,79,231,33800210
21,76,213,34555150
22,79,229,40429755
23,83,245,16162211
24,84,258,10724624
23,81,245,34794537
22,80,230,34892387
23,84,244,7143140
22,80,231,31354687
21,76,215,27551787
22,81,227,36407254
23,83,242,19724974
21,78,215,29823209
22,81,231,24913700
21,77,213,37885330
20,72,197,17779208
21,77,214,33854982
20,73,198,19562241
19,67,178,6114192
20,70,190,11897511
22,79,225,49822641
21,75,208,36373493
22,78,223,48654639
22,80,228,41219681
21,74,207,28899156
24,84,248,10965789
23,81,233,41605498
22,79,219,50865494
22,79,224,50954503
21,74,205,28307407
23,81,241,41626375
24,84,252,11793013
23,81,238,43630681
25,84,265,11170047
24,83,255,22978919
23,80,239,46552561
22,78,226,46030586
24,84,259,10312488
23,82,243,31147642
22,78,228,42037166
23,82,244,29378683
21,75,209,35691070
22,76,223,34397876
23,80,240,46000184
24,82,254,33949029
23,79,236,42592548
24,80,247,32091467
25,83,262,18064174
26,84,270,5681001
25,82,259,21318714
24,81,247,32957349
25,84,260,9356356
24,82,251,33498599
23,78,234,35246355
22,77,217,37325190
23,81,235,43179096
24,84,244,9416043
23,80,230,39480713
24,82,242,25220431
25,84,255,6994365
24,83,247,21464613
22,77,218,38688194
23,82,238,36199166
22,78,222,48792287
22,78,225,47433719
21,73,205,21062996
20,71,186,14055091
22,81,220,44327471
21,76,204,42811189
22,80,217,48406871
21,75,201,30956065
22,79,213,40271524
23,83,231,21068073
24,84,239,6933401
23,81,225,29166515
22,77,212,28891065
23,83,227,17837051
22,79,217,48149411
21,74,198,19961532
22,77,215,34137574
23,81,229,36052824
23,82,235,36343305
22,79,222,52047653
21,75,204,34871364
20,71,190,16685969
21,76,210,41485665
22,80,226,46348237
22,82,216,31409681
21,77,201,44482690
22,80,216,46817807
20,73,191,29891509
19,66,171,3408967
20,69,185,6367914
22,79,220,51562100
22,78,219,47100664
21,74,203,26376538
22,77,216,35625636
23,83,233,22280105
24,84,242,8430646
22,79,214,42450443
23,83,229,19661506
22,78,218,45752077
21,73,199,15790621
22,76,217,30098634
24,82,247,30802185
25,84,259,8918071
24,83,249,22617464
23,80,233,43869944
23,81,239,43279231
22,77,224,41694245
22,76,225,34087987
21,72,204,14475082
22,76,215,27392858
23,80,236,46255897
23,79,233,40073101
24,82,244,27643392
25,84,257,7977169
24,82,246,29817446
23,79,228,32475283
24,80,239,21741935
25,83,255,13201744
26,84,263,3354016
25,82,251,13739151
24,81,240,23853972
23,78,226,24381650
22,76,209,18397693
23,80,229,37681968
24,84,238,6401956
23,79,223,23940593
24,82,235,16008571
25,84,248,4013239
24,83,240,15598567
23,80,223,26415899
22,76,211,21351868
23,81,230,37707787
24,84,241,7853119
23,80,227,34136827
23,82,231,33255065
21,73,197,13663296
22,74,217,16457206
23,79,238,43366008
24,82,250,33058402
23,79,234,41019298
24,81,245,30669119
24,82,248,31685675
23,78,229,28933667
24,80,241,24391802
25,83,257,14735349
26,84,265,3881474
25,82,253,15558316
24,80,242,25899399
25,84,256,7475198
24,81,248,33906629
23,77,229,22422505
24,78,246,20559895
25,82,264,25194438
26,84,272,6475133
25,81,259,20739333
26,82,269,11162804
27,84,279,2598851
26,83,271,10189736
25,80,257,17015345
24,79,246,25885255
25,82,263,24575032
26,84,274,7221615
25,82,262,23799789
24,80,252,36041325
25,83,267,20220310
24,81,255,36788133
23,76,235,21672821
22,75,223,26284617
23,79,244,38756289
24,83,258,21464938
23,79,242,41574361
24,82,255,33667126
25,84,269,11916436
24,81,256,36510080
23,78,238,37736971
