set_cardinality,add_ds_card,mult_ds_card,count
23,82,244,25750527
24,85,259,31159811
23,81,243,22122179
24,84,259,25700707
25,87,274,28309362
23,81,241,17950055
24,83,254,17260715
25,86,272,17137306
26,87,283,18021692
25,85,269,18459345
24,84,253,14390834
25,87,268,19230305
24,84,258,23501148
23,80,238,9374946
22,78,223,8003957
23,83,245,33515562
24,86,256,18377460
23,82,239,15497771
24,84,257,21481532
25,87,273,26836181
24,86,261,26027277
22,78,227,13457957
23,82,247,32525341
24,84,263,34174916
23,81,246,29008379
22,78,228,15115425
22,78,230,18574132
21,73,208,3321353
20,71,193,2813463
21,75,214,12376381
22,80,231,27572224
21,76,213,13209922
22,81,231,31816422
23,84,249,37179034
22,80,233,31473314
22,80,227,19151820
23,84,247,34025169
24,87,260,24525528
23,84,243,26104177
22,81,225,18563361
23,86,242,18719432
22,80,229,23404408
21,76,208,6783433
22,79,223,10753395
23,83,243,28683473
24,87,254,18331486
23,83,238,17713824
24,85,255,22734505
25,87,270,22294609
24,85,258,29043039
23,82,240,17266022
22,79,227,17381112
23,84,244,28355194
21,75,209,6515261
24,86,257,19796988
24,85,256,24749458
25,87,271,23639079
24,85,257,26913001
24,83,252,13851452
25,86,270,14277443
26,87,280,14023959
25,85,266,13872491
24,84,251,11536621
23,81,237,11076536
22,78,222,6908727
23,83,244,31203307
24,87,256,20751932
23,81,238,12630857
24,85,254,20847099
24,86,259,22895011
23,83,239,19691717
22,79,225,13770195
23,82,245,27904153
24,86,260,24465899
22,79,229,21301612
21,75,207,4779555
22,77,225,8915352
23,82,248,34693219
24,85,261,35528843
25,87,276,30915572
24,85,263,39580795
24,83,257,23143075
25,86,276,23376960
26,87,285,21087820
25,85,270,20204427
25,87,272,25289717
24,84,262,32100181
23,80,240,11965011
24,81,254,10867653
25,85,273,26118513
26,87,282,16536266
25,84,266,8855097
26,85,282,11885615
27,87,294,10070583
26,86,286,11727328
25,83,270,14659786
24,82,256,14902015
25,85,271,22118921
24,83,253,15426881
25,86,271,15624855
23,79,239,9503528
22,78,225,10521538
23,81,242,19966000
24,85,260,33275141
25,87,275,29719581
24,84,261,29940431
23,81,244,24389161
24,83,258,25392052
25,86,274,20214893
25,85,272,24085537
24,84,254,16069047
25,87,269,20731557
