set_cardinality,add_ds_card,mult_ds_card,count
23,84,225,20353614
22,82,211,17538990
23,86,228,28395501
24,88,238,13601010
23,85,225,21438382
22,81,210,11976891
23,85,226,23083000
22,82,214,23198868
21,77,195,4746116
20,73,179,1354147
21,79,199,13773998
22,84,213,28193828
21,79,197,11061430
22,83,212,22537092
23,87,226,19702117
22,82,215,25263127
21,78,198,9530321
22,81,213,16307209
23,85,228,26994285
22,83,209,17005030
23,87,224,17045360
22,82,212,19358513
21,77,194,4132955
20,73,182,2164438
21,79,201,16886383
22,84,215,32707304
23,86,230,32016879
22,83,218,35866981
21,77,201,9668323
20,74,185,4694451
21,80,203,25471748
22,84,217,37195275
20,75,185,6358917
21,80,202,23476836
19,68,165,337671
20,70,182,695394
21,77,203,11851281
22,81,221,31038281
22,81,220,29141910
23,84,236,42406782
22,82,221,37955237
22,80,220,23675270
23,85,237,44378164
24,86,250,38045749
23,83,235,33922355
22,81,218,25382488
23,85,235,40846064
21,76,200,6459443
22,79,212,8458251
23,84,231,32088087
24,88,244,18305323
23,84,228,25977615
24,85,245,25888794
25,88,258,18013036
24,87,247,27816574
23,82,232,23455660
22,80,216,17325910
23,84,233,36405373
24,87,245,24984966
22,80,215,15891681
23,85,232,35236504
22,81,217,23316378
21,75,196,2658769
22,78,213,6940517
23,82,233,25074095
24,86,245,29868567
23,82,228,16915049
24,86,244,28172485
25,88,257,17292410
24,86,247,33318390
23,83,230,24295325
24,84,245,23966014
25,87,259,20090330
26,88,267,11324857
25,86,256,18751357
24,85,240,17884897
25,88,255,15564392
24,85,244,24144809
23,81,227,10958845
22,79,214,10404644
23,83,233,29976418
24,87,246,26436030
23,82,230,20054373
24,85,246,27534034
25,88,259,18852388
24,87,249,30301140
22,79,218,15141427
23,83,234,31885419
22,79,221,19033518
21,74,200,3136860
22,77,217,7120066
23,82,238,33803461
24,85,252,37997541
23,81,235,21379533
24,84,250,32464060
25,88,265,22622661
24,86,253,41971440
23,80,234,15474170
24,84,249,30748908
25,87,266,28400885
26,88,274,16293541
25,86,261,25504652
24,84,246,25540148
25,88,261,20342087
23,81,231,15690898
24,82,243,11743967
25,86,259,22738577
26,88,269,12723649
25,85,256,14027805
26,86,271,13269405
27,88,281,7839945
26,87,274,14536414
25,84,260,16627340
24,83,245,17476738
25,86,262,26887091
26,88,272,14901584
25,86,260,24200088
25,87,260,21280661
24,84,248,28958619
23,80,229,10273845
22,78,212,6221000
24,87,248,29013324
24,85,248,31143624
23,81,232,17085125
25,87,263,24933860
26,88,273,15683731
24,84,247,27331910
23,81,228,12027523
23,81,238,25679782
24,86,251,39648900
25,88,266,23099637
24,86,255,44046855
23,82,237,32149808
22,78,220,13349017
23,84,239,47361484
24,87,253,34251829
23,83,237,37777889
22,79,220,17695374
23,83,238,39431096
21,73,199,1794439
22,76,211,2645971
23,81,234,19866462
24,85,250,34593242
25,87,264,26094807
24,85,251,36450427
23,80,232,13307886
24,83,246,18873856
24,84,241,17767790
25,87,258,18698007
24,82,247,16214854
23,79,225,4444341
24,82,236,6081634
26,88,266,10639095
25,85,251,9283876
26,86,269,11486005
27,88,280,7416759
26,87,272,12860383
25,84,257,13383037
24,82,244,12848740
25,85,260,18797779
24,84,244,22265254
23,79,223,3568564
24,80,241,4829024
26,87,271,11962421
25,84,256,12336967
26,86,272,14176228
27,88,283,8890633
26,86,273,15017643
25,83,257,8727569
26,84,268,5953053
27,87,283,6037411
28,88,288,2825525
27,86,278,4433969
26,85,263,4448085
27,88,276,5585807
25,82,252,4157238
24,81,240,5815580
26,88,268,12045035
25,84,253,9648448
26,86,268,10642093
26,87,275,15488515
24,82,246,15002270
25,86,265,30929002
26,88,276,17734967
25,85,262,21337924
25,86,263,28363846
24,83,251,26219547
23,78,229,4862708
22,76,212,2991205
23,81,229,13197122
25,88,260,19667054
23,80,230,11218371
24,84,242,19256840
25,86,254,16272904
24,82,238,7454040
25,88,254,14792251
23,79,224,3912659
24,82,237,6723267
25,86,255,17457582
26,88,263,8683434
25,85,248,6971714
26,86,264,7835784
27,88,275,5226562
26,87,269,10322750
25,84,254,10560182
24,83,242,13861421
25,86,258,21327730
24,83,239,10543974
25,87,256,16433119
23,80,225,7021127
22,76,207,1594653
23,83,228,20590407
24,86,243,26510869
23,80,226,7694468
24,85,243,22601293
25,88,256,16391205
25,87,257,17623320
24,84,236,11507818
25,88,252,13171924
24,85,241,19387022
23,81,221,5778167
22,78,209,4411049
24,87,243,22299486
23,82,226,14124235
22,78,215,8513551
23,83,232,28102587
22,79,215,11485418
21,73,194,893984
22,74,214,1636751
23,81,237,24311469
24,84,253,37241279
24,83,249,23289099
25,86,264,29705846
23,79,231,8186260
24,82,245,13908058
25,87,261,22459205
24,83,244,16193746
23,79,228,6129796
24,81,241,6329939
26,88,270,13479008
25,85,255,12898383
26,86,270,12351818
25,85,259,17549067
24,83,248,21776352
23,78,227,3988636
24,80,242,5360968
25,84,262,19036443
26,87,273,13686909
25,83,256,7919511
25,83,255,7259828
26,84,267,5405066
27,87,282,5570382
27,86,277,4097178
26,85,265,5360024
25,82,254,5031840
24,80,240,4433051
25,85,261,20069350
26,88,271,14232023
25,83,254,6666866
26,86,267,9917161
25,84,255,11458471
24,81,243,7703149
24,82,251,21177006
23,77,228,2764980
24,78,245,2936256
25,84,268,26248672
26,86,280,21977259
25,83,262,12828836
26,85,275,11911111
27,88,289,12285311
26,86,278,20015549
25,82,259,7834958
26,84,270,7067607
27,87,288,8680844
