set_cardinality,add_ds_card,mult_ds_card,count
20,71,194,45878784
19,67,179,62000125
18,65,162,64866814
19,69,178,60526636
20,73,192,24722366
20,71,191,50844780
21,73,204,28039333
20,72,193,36096547
19,68,177,68396580
18,64,162,58395113
19,70,179,46580099
19,68,178,64743838
18,65,164,57902018
19,69,180,49523412
17,60,147,36127505
16,56,131,17441225
17,61,147,44804290
18,66,164,58653106
17,62,148,48309277
18,67,162,66260606
19,71,178,39058770
18,67,164,55770314
17,62,147,52723138
18,66,161,70557191
19,70,177,54875145
20,72,189,37289697
19,70,175,55890418
19,69,176,64220059
18,65,160,68163262
17,61,145,46642301
18,64,163,57945185
20,71,193,48909415
19,68,179,60901120
18,66,163,65585340
17,60,148,33644976
16,56,132,19914050
18,67,161,69652462
19,71,177,42803396
18,66,165,45775240
19,70,180,40588691
18,65,165,45726112
17,60,149,31210644
16,57,132,27150665
18,67,163,63525140
17,63,148,53612551
19,70,178,50777433
18,67,165,42942093
16,58,132,35297358
17,63,149,47248516
17,63,146,66512968
15,51,116,5066363
16,53,130,5126638
19,67,178,65265108
20,70,191,57594680
19,67,177,68396328
19,69,177,64512934
18,65,163,63672109
17,60,146,39789116
18,63,162,50186104
20,69,192,61183804
21,72,205,37932387
20,71,192,49839253
19,66,177,63277312
19,69,179,56214005
17,59,146,30571365
18,62,161,41771471
20,71,190,50216171
19,67,175,66720511
20,68,189,55012174
21,72,204,36818528
22,73,215,22269273
21,71,202,41451776
20,70,190,56527450
20,70,192,56835873
19,65,176,54034060
18,63,159,49145106
20,71,188,48043480
19,67,174,64332982
20,70,187,50835796
21,72,201,32808264
20,71,189,49033145
19,67,173,63544034
19,68,175,67600366
18,64,161,60350252
19,68,176,67566293
18,63,161,51683480
17,58,144,18262448
18,61,158,28814802
19,66,176,61702464
20,69,190,60239565
19,65,175,53287997
20,69,189,58023670
21,72,203,35885623
19,65,172,45829770
20,69,187,53586169
22,73,214,20915031
21,71,201,39523476
20,69,188,56593621
21,73,202,26255082
20,69,191,61543738
19,66,174,58579155
20,67,190,52528023
21,71,206,47103273
22,73,216,23192781
21,70,203,44274476
22,71,216,30333499
23,73,227,14818756
22,72,217,28105590
21,69,203,43741458
20,68,188,53519302
21,71,204,44744683
20,68,190,57417418
19,64,174,41416700
18,62,159,39325381
19,67,176,67112490
20,68,191,58865445
